Order_ID,PRODUCT_ID,Store_ID,Date_Ordered,Date_Completed,Qty,Order_Des,Order_Price
4001,200402,750101,07/11/22,,33,"Order Placed for 33 bottles of Rose Pink Sparkling Wine by retailer Hamill-Howe which is based out of El Paso, Texas for amount $247.5 on date 11/07/22", $247.50 
4001,200604,750101,07/11/22,,48,"Order Placed for 48 bottles of Truly Hard Seltzer by retailer Hamill-Howe which is based out of El Paso, Texas for amount $143.52 on date 11/07/22", $143.52 
4002,200502,750102,09/11/22,,33,"Order Placed for 33 bottles of Ocho Tequila by retailer Runte, Schiller and Deckow which is based out of Newport News, Virginia for amount $1517.67 on date 11/09/22"," $1,517.67 "
4002,200501,750102,10/11/22,,92,"Order Placed for 92 bottles of Don Julio Tequila by retailer Runte, Schiller and Deckow which is based out of Newport News, Virginia for amount $5335.08 on date 11/10/22"," $5,335.08 "
4002,200202,750102,14/11/22,,18,"Order Placed for 18 bottles of Ballentine's Finest Whiskey by retailer Runte, Schiller and Deckow which is based out of Newport News, Virginia for amount $341.82 on date 11/14/22", $341.82 
4002,200702,750102,11/11/22,,68,"Order Placed for 68 bottles of Kurosawa Junmai Kimoto Kurosawa Brewery Sake by retailer Runte, Schiller and Deckow which is based out of Newport News, Virginia for amount $5711.32 on date 11/11/22"," $5,711.32 "
4003,200102,750105,27/10/22,,99,"Order Placed for 99 bottles of Coors Light Beer by retailer Upton and Sons which is based out of Fresno, California for amount $264.33 on date 10/27/22", $264.33 
4004,200902,750106,22/10/22,,58,"Order Placed for 58 bottles of Sailor Jerry Spiced Rum by retailer Hickle-Konopelski which is based out of Fort Wayne, Indiana for amount $1391.42 on date 10/22/22"," $1,391.42 "
4004,200102,750106,25/10/22,,26,"Order Placed for 26 bottles of Coors Light Beer by retailer Hickle-Konopelski which is based out of Fort Wayne, Indiana for amount $69.42 on date 10/25/22", $69.42 
4004,200301,750106,23/10/22,,18,"Order Placed for 18 bottles of SKYY Vodka by retailer Hickle-Konopelski which is based out of Fort Wayne, Indiana for amount $323.82 on date 10/23/22", $323.82 
4004,200802,750106,26/10/22,,32,"Order Placed for 32 bottles of Bombay Sapphire Gin by retailer Hickle-Konopelski which is based out of Fort Wayne, Indiana for amount $479.68 on date 10/26/22", $479.68 
4004,200702,750106,22/10/22,,51,"Order Placed for 51 bottles of Kurosawa Junmai Kimoto Kurosawa Brewery Sake by retailer Hickle-Konopelski which is based out of Fort Wayne, Indiana for amount $4283.49 on date 10/22/22"," $4,283.49 "
4005,200704,750107,31/10/22,17/11/22,58,"Order Placed for 58 bottles of MOMOKAWA SakéOne Sake by retailer Stracke Group which is based out of Charlotte, North Carolina for amount $5567.42 on date 10/31/22"," $5,567.42 "
4005,200304,750107,03/11/22,17/11/22,55,"Order Placed for 55 bottles of Platinum 7X Vodka by retailer Stracke Group which is based out of Charlotte, North Carolina for amount $549.45 on date 11/03/22", $549.45 
4005,200602,750107,02/11/22,17/11/22,43,"Order Placed for 43 bottles of Michelob Ultra Seltzer by retailer Stracke Group which is based out of Charlotte, North Carolina for amount $107.5 on date 11/02/22", $107.50 
4006,200804,750109,30/10/22,,32,"Order Placed for 32 bottles of Seagram’s Gin by retailer Bailey Inc which is based out of Morgantown, West Virginia for amount $511.68 on date 10/30/22", $511.68 
4006,200102,750109,31/10/22,,75,"Order Placed for 75 bottles of Coors Light Beer by retailer Bailey Inc which is based out of Morgantown, West Virginia for amount $200.25 on date 10/31/22", $200.25 
4007,200204,750111,07/11/22,,83,"Order Placed for 83 bottles of Jim Beam Bourbon Whiskey by retailer Robel, Greenfelder and Senger which is based out of Tampa, Florida for amount $2323.17 on date 11/07/22"," $2,323.17 "
4008,200201,750112,30/10/22,,48,"Order Placed for 48 bottles of Red Label Scotch Whiskey by retailer Weissnat-Swift which is based out of Washington, District of Columbia for amount $1055.52 on date 10/30/22"," $1,055.52 "
